id;title;overview;release_date;vote_average
915931;Revoir Paris;À Paris, Mia est prise dans un attentat dans une brasserie. Trois mois plus tard, alors qu’elle n’a toujours pas réussi à reprendre le cours de sa vie et qu’elle ne se rappelle de l’évènement que par bribes, Mia décide d’enquêter dans sa mémoire pour retrouver le chemin d’un bonheur possible.;2022-09-07;7.1
21484;Possession;'Rentrant d''un long voyage, Mark retrouve à Berlin sa femme Anna et son fils, Bob. Mais rapidement, il se rend compte que le comportement de sa femme a changé. Prise de violentes crises, elle quitte le domicile. L''amie du couple, Annie, révèle à Mark le nom de l''amant d''Anna, Heinrich. Lorsqu''elle disparaît, Mark engage un détective qui découvre bientôt qu''Anna s''est réfugiée dans une étrange demeure où semble se cacher une créature surgie des ténèbres.';1981-05-27;7.4
438478;Pornocratie: Les nouvelles multinationales du sexe;'L''ex-vedette du cinéma pornographique Ovidie revient sur les dessous d’un marché du X toujours aussi florissant mais qui n’échappe pas à une crise économique de de grande ampleur.  Malgré des pages vues par milliard chaque jour, le secteur est à bout de souffle. Une production qui met en exergue les souffrances d''un univers dont les dessous sont méconnus.  Si ce secteur constitue une aubaine pour les sociétés de production, celles-ci ne cessent de mettre la clé sous la porte.';2017-03-12;6.7
484641;Anna;Les Matriochka sont des poupées russes qui s’emboîtent les unes dans les autres. Chaque poupée en cache une autre. Anna est une jolie femme de 24 ans, mais qui est-elle vraiment et combien de femmes se cachent en elle ? Est-ce une simple vendeuse de poupées sur le marché de Moscou ? Un top model qui défile à Paris ? Une tueuse qui ensanglante Milan ? Un flic corrompu ? Un agent double ? Ou tout simplement une redoutable joueuse d’échecs ? Il faudra attendre la fin de la partie pour savoir qui est vraiment Anna et qui est « échec et mat ».;2019-06-19;6.7
73881;La Fonte des neiges;'En arrivant dans le camping naturiste où le traîne sa mère, Léo, douze ans, croit défaillir. Jusqu''à ce qu''il fasse la rencontre d''Antoinette et de ses champignons magiques.';2009-01-31;5.9
785985;Loin du périph;'Dix ans après avoir fait équipe, Ousmane et François, deux flics que tout oppose, reforment à contrecœur leur tandem de choc. Pas franchement ravis de se retrouver, ils mettent le cap sur une petite ville des Alpes pour enquêter sur un meurtre particulièrement sordide. Mais, alors qu''ils pensent avoir élucidé l’affaire, Ousmane et François découvrent une réalité bien plus terrifiante ! De surprises en rebondissements, leur escapade loin du périph les pousserait même à s’apprécier…';2022-05-06;6.1
979;Irréversible;Une jeune femme, Alex, se fait violer par un inconnu dans un tunnel. Son compagnon Marcus et son ex-petit ami Pierre décident de faire justice eux-mêmes.;2002-05-22;7.2
70462;La débandade;'Claude et Marie s''aiment et sont mariés depuis 15 ans. Un soir, en faisant l''amour, Claude se rend compte que son érection laisse à désirer. Et pourtant le désir est toujours là…';1999-05-17;3.9
928381;Sans répit;'Alors qu''il fait l''objet d''une enquête pour corruption, le lieutenant Thomas Blin doit se rendre en pleine nuit aux funérailles de sa mère. En voulant éviter un chien sur le route, il percute accidentellement un homme et le tue sur le coup. Paniqué, il décide de cacher le corps. Croyant être tiré d''affaires, il se retrouve embarqué dans une spirale infernale, quand l''enquête sur l''individu disparu est confiée à un de ses collègues, et qu''un mystérieux témoin tente de le faire chanter...';2022-02-25;6.1
173185;'20 ans d''écart';'Alice Lantins a 38 ans. Elle est belle, ambitieuse et fait preuve d’une impeccable conscience professionnelle au point d’en oublier sa vie privée. Bref, elle a tout pour devenir la prochaine rédactrice en chef du magazine « Rebelle », tout sauf son image de femme coincée. Mais lorsque le jeune et charmant Balthazar, à peine 20 ans, va croiser le chemin d’Alice, le regard de ses collègues va inexplicablement changer. Réalisant qu''elle détient la clef de sa promotion, Alice va feindre la comédie d’une improbable idylle.';2013-03-06;6.3
975395;'Kim Novak, l''âme rebelle d''Hollywood';'"Le premier film sur Kim Novak, sa carrière et son émancipation du système hollywoodien, avec la participation exclusive de l''actrice elle-même. Un écho au mouvement #MeToo. Dévoilez l''héroïne inoubliable du chef-d''œuvre d''Alfred Hitchcock, "" Vertigo ""."';2023-03-05;7.5
